z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H,H2,CH3,O,CH4,OH,H2O,CO,N2,HCO,CH2O,C2H6,CH2OH,CH3O,O2,CH3OH,HO2,H2O2,CO2,AR,HE
0.0,1.4433382185304091,0.0,600.0,0.5939454879790327,-1.8643907247826396e-14,1.7043598028771267e-14,-6.416230698703197e-13,-5.3068917190525226e-14,2.354227868646195e-14,-1.5189546961184177e-18,7.310884698837375e-14,-3.3954034428834805e-13,0.6638683341872988,-1.3014451754188233e-18,4.962098433747111e-15,-1.4395257495663298e-13,1.8592138200870427e-13,-5.952081370062243e-18,0.20156813008690302,0.1345635357259792,5.778807074723831e-13,1.3426238445796796e-13,-7.573184232023478e-16,-1.9072399079588564e-18,-4.927668168700526e-19
0.004,1.443338218521312,0.0,599.999999991692,0.5939454879827756,-7.056860979869503e-18,5.342688590697744e-13,-4.3808117918787676e-13,-3.056187815631848e-17,-1.3717197055976254e-13,-5.996888535985435e-18,3.0680530509477928e-15,-3.3951410253557573e-13,0.6638683341869218,2.1829090367310717e-22,5.3578442171679e-13,-1.8901349654612474e-13,9.959192300349794e-18,-5.01585245904799e-16,0.20156813008520622,0.13456353572556248,2.154983208653994e-12,1.8689208335006646e-13,-7.384213321734994e-16,1.9072264163648685e-17,6.0569374203039696e-18
0.006,1.4433382186128167,0.0,599.9999999892166,0.5939454879451207,-2.047310492658494e-20,5.534476398571831e-12,-3.554737278183511e-13,-5.809314722923602e-20,-2.022898687993182e-13,-6.607041482115905e-19,-8.4348641524391e-16,-3.3954533376956946e-13,0.6638683341834282,-5.478450719872526e-22,1.0281196610649376e-12,-2.0746400262042618e-13,1.6320788942552404e-17,-2.3603931635678456e-17,0.2015681300827881,0.1345635357247846,3.3156754563214367e-12,2.2737971651987434e-13,-7.598733696666939e-16,-4.764857908837952e-18,-1.5226269424006754e-18
0.008,1.4433382198438751,0.0,599.9999999868925,0.5939454874385295,-4.689434637299882e-21,6.899709968690048e-11,-2.8824561637671977e-13,1.5902419879780863e-20,-2.5513533583632067e-13,-5.186346690877452e-19,-3.83420517468259e-15,-3.395131030697573e-13,0.6638683341390879,5.966432940240878e-22,1.5597730096607747e-12,-2.2255759278609918e-13,1.755350773465922e-17,-1.417025481118906e-17,0.2015681300655784,0.1345635357211006,4.504440349065163e-12,2.8224606901231934e-13,-7.377831277482062e-16,1.947885607406694e-17,5.1783488103548304e-18
0.009000000000000001,1.443338225881439,0.0,599.9999999857625,0.5939454849540232,-1.6195357557881557e-20,3.7897806877961314e-10,-2.581731024571636e-13,-6.198973146375141e-20,-2.7878185993374926e-13,-4.90149049997827e-19,-4.3422210525467645e-15,-3.395520250030514e-13,0.6638683339225088,-1.7901982342244146e-21,1.8342369940217205e-12,-2.2937370784237395e-13,1.8094808091613202e-17,-1.451598753771904e-17,0.2015681299867636,0.1345635357056086,5.1043136468119516e-12,3.1333727906025516e-13,-7.708829839491711e-16,-1.685474517570687e-17,-4.793774153915649e-18
0.01,1.443338267230267,0.0,599.9999999846732,0.5939454679386459,9.356286744749375e-21,2.501093387120964e-09,-2.311788785521676e-13,9.588933786561869e-20,-2.9990960408631534e-13,-3.8806568257841514e-19,1.2506092137398555e-14,-3.3927562809176343e-13,0.6638683324398097,3.014079337545366e-21,2.117900112945838e-12,-2.3544855298217305e-13,1.867056580524349e-17,-9.311462343139245e-18,0.20156812945074545,0.13456353560126944,5.710722094726391e-12,3.482102287585078e-13,-7.145870718182005e-16,4.45521693891619e-17,1.2400996632245982e-17
0.011,1.4433385503182536,0.0,599.9999999837376,0.5939453514456793,-3.102552857544615e-20,1.70289965382134e-08,-2.071109425577491e-13,-1.6431528174139485e-19,-3.1880915529505744e-13,-4.3174119849810904e-19,3.5068716907684446e-13,-3.3493996162886013e-13,0.6638683222891415,-4.935834098558237e-21,2.408010386775284e-12,-2.408997785877333e-13,1.9091803720703082e-17,-1.441670009111674e-17,0.2015681257847492,0.13456353488874898,6.320256119520454e-12,3.8691019385893755e-13,-7.931813173395725e-16,-5.340774957877127e-17,-1.3542952434594811e-17
0.0115,1.4433393124661578,0.0,599.9999999843951,0.5939450378159455,3.1169057276184256e-20,5.614150440943498e-08,-1.9572762820485702e-13,2.297204694517008e-19,-3.267123874082635e-13,-2.785396094552778e-19,2.797547169343809e-12,-2.9617690906912163e-13,0.6638682949599003,7.120244755856939e-21,2.5562188201168797e-12,-2.433828076288883e-13,1.9448248633224e-17,-4.484152388686923e-18,0.20156811591605628,0.13456353297120818,6.630059446765139e-12,4.0999496978171273e-13,-6.088597560346976e-16,1.7310181541793248e-17,5.314959796255114e-18
0.012,1.4433423023980647,0.0,599.9999999977994,0.5939438074391055,-2.5944101853056057e-20,2.095791999361424e-07,-1.8500802054071787e-13,-1.3548050233086e-19,-3.240875173504752e-13,-3.8202203526954223e-19,2.7134613073122044e-11,1.6334146275064595e-13,0.6638681877353989,-4.101215540156945e-21,2.7081030525464455e-12,-2.4577725336910524e-13,1.9587292113904188e-17,-1.2395976994100528e-17,0.20156807719899691,0.1345635254497192,6.967901451067029e-12,4.647559130561733e-13,1.1222869548598666e-15,-2.6492096243424344e-17,-5.98103980040793e-18
0.01225,1.4433470748429347,0.0,600.0000000608042,0.5939418435568562,-2.819063524969715e-20,4.544845319587897e-07,-1.7976623200943086e-13,-1.5293815127931076e-19,-2.8140743226921565e-13,-3.784294596666112e-19,1.2093994864595668e-10,2.2689417275200332e-12,0.6638680165453885,-4.655182183142699e-21,2.7993663759054626e-12,-2.4692780232920644e-13,1.9747518977888955e-17,-1.2631369342644445e-17,0.20156801539002644,0.1345635134468483,7.263073377717589e-12,6.299315505007289e-13,1.1165419439058143e-14,-3.647704300763277e-17,-5.634281417716392e-18
